,web,dist_sea,dist_city,stars,feedb,price,feedb_n,num_rooms,pool,kids,anim,location,dist_sea_km,dist_city_km,perks_n,amenities_n,Бар или ресторан,Бассейн,Бесплатный интернет,Джакузи,Для гостей с ограниченными возможностями,Кондиционер,Конференц-зал,Кухня,Можно курить,Парковка,Пляж рядом,Подходит для детей,Разрешено с домашними животными,Спа-услуги,Трансфер,Фитнес,tv_bin,brekf_bin,fridge_bin,heat_bin,iron_bin,smokefree_bin,invalid_bin
1723,https://ostrovok.ru/hotel/russia/sochi/mid10006668/hotel_sochi/,390.0,995.7,0,8.8,3281,109,78.0,0,1,0,sochi,0.0,0.0,5,40,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
1725,https://ostrovok.ru/hotel/russia/sochi/mid10006674/na_pervomayskoy_19_apartments/,440.0,310.2,0,0.0,6962,0,1.0,0,0,0,sochi,0.0,0.0,4,20,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
1732,https://ostrovok.ru/hotel/russia/sochi/mid10006809/ail_guest_house/,1100.0,47100.0,0,7.0,3101,1,60.0,1,0,0,sochi,1.0,1.0,5,15,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1733,https://ostrovok.ru/hotel/russia/sochi/mid10006817/viva_valentina_hotel/,270.0,23400.0,0,8.1,4694,2,31.0,0,2,0,sochi,0.0,1.0,5,40,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
1743,https://ostrovok.ru/hotel/russia/sochi/mid10006956/blacksea_sochi_apartments/,430.0,489.4,0,9.9,9140,17,4.0,0,2,0,sochi,0.0,0.0,5,35,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
1745,https://ostrovok.ru/hotel/russia/sochi/mid10007045/grandloo_hotel/,170.0,17000.0,0,9.3,2700,2,100.0,1,3,1,sochi,0.0,1.0,5,98,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1761,https://ostrovok.ru/hotel/russia/sochi/mid10008526/solar_2/,600.0,48500.0,0,0.0,3303,0,44.0,1,0,0,sochi,0.0,1.0,5,13,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1762,https://ostrovok.ru/hotel/russia/sochi/mid10008531/chaika_lazarevskoe/,650.0,47300.0,1,0.0,2500,0,88.0,0,0,0,sochi,0.0,1.0,2,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1763,https://ostrovok.ru/hotel/russia/sochi/mid10008535/sputnik_spirit/,510.0,20100.0,1,0.0,5300,0,160.0,0,0,0,sochi,0.0,1.0,3,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1766,https://ostrovok.ru/hotel/russia/sochi/mid10008541/romashka_adler/,110.0,17800.0,0,0.0,3419,0,120.0,0,0,0,sochi,0.0,1.0,2,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1767,https://ostrovok.ru/hotel/russia/sochi/mid10008542/yuzhnaya_rapsodiya_guesthouse/,390.0,14500.0,3,0.0,7500,0,100.0,1,0,0,sochi,0.0,1.0,5,28,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
1768,https://ostrovok.ru/hotel/russia/sochi/mid10008543/lunnaya_sonata/,130.0,14500.0,2,0.0,4117,0,80.0,0,0,0,sochi,0.0,1.0,5,10,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1778,https://ostrovok.ru/hotel/russia/sochi/mid10008703/ostrovok_hotel_4/,130.0,23300.0,2,7.9,4117,125,58.0,0,0,0,sochi,0.0,1.0,4,7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1782,https://ostrovok.ru/hotel/russia/sochi/mid10008731/gostevoj_dom_zarya/,0.0,47900.0,0,9.1,2300,54,18.0,0,1,0,sochi,0.0,1.0,5,25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
1789,https://ostrovok.ru/hotel/russia/sochi/mid10008834/gostevoj_dom_gostevoj_dom_nika/,570.0,15900.0,0,9.3,2742,6,12.0,0,1,0,sochi,0.0,1.0,5,31,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
1790,https://ostrovok.ru/hotel/russia/sochi/mid10008853/hotel_orange_house_2/,460.0,22100.0,0,9.0,3839,9,16.0,1,1,0,sochi,0.0,1.0,5,56,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
1814,https://ostrovok.ru/hotel/russia/sochi/mid10009218/gostevoj_dom_greenland/,670.0,27500.0,0,8.5,2429,2,10.0,0,0,0,sochi,0.0,1.0,4,14,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
1841,https://ostrovok.ru/hotel/russia/sochi/mid10010417/aparthotel_montevil/,350.0,2000.0,4,8.9,12980,59,38.0,1,2,0,sochi,0.0,1.0,5,46,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1849,https://ostrovok.ru/hotel/russia/sochi/mid10011049/verona_minihotel_6/,110.0,47600.0,0,7.2,1338,4,14.0,0,1,0,sochi,0.0,1.0,5,11,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1917,https://ostrovok.ru/hotel/russia/sochi/mid10012084/arkhitektor_aparthotel/,320.0,632.7,4,9.2,8212,35,40.0,0,1,0,sochi,0.0,0.0,5,37,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1919,https://ostrovok.ru/hotel/russia/sochi/mid10012091/alfa_aparthotel_2/,4000.0,29800.0,3,8.8,4910,3,18.0,0,0,0,sochi,1.0,1.0,5,28,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
1929,https://ostrovok.ru/hotel/russia/sochi/mid10012463/hotel_noy_6/,200.0,14000.0,0,8.1,5500,8,51.0,1,0,0,sochi,0.0,1.0,5,40,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
1940,https://ostrovok.ru/hotel/russia/sochi/mid10012580/madisson_rodina_guest_house/,350.0,14400.0,0,7.7,3752,2,62.0,1,2,1,sochi,0.0,1.0,5,46,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
1947,https://ostrovok.ru/hotel/russia/sochi/mid10012635/kurortny_hotel_parus_sportivnoozdorovitelny_kompleks/,1100.0,3400.0,0,0.0,4710,0,145.0,1,2,0,sochi,1.0,1.0,5,62,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
1966,https://ostrovok.ru/hotel/russia/sochi/mid10013139/kurortny_hotel_korall/,660.0,30200.0,1,7.2,5054,4,98.0,1,1,0,sochi,0.0,1.0,5,30,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
1978,https://ostrovok.ru/hotel/russia/sochi/mid10013507/hotel_elif/,1300.0,47400.0,0,7.5,2290,4,120.0,1,2,0,sochi,1.0,1.0,5,34,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
