,stars,feedb,Бар или ресторан,Бассейн,Бесплатный интернет,Джакузи,Для гостей с ограниченными возможностями,Кондиционер,Конференц-зал,Кухня,Можно курить,Парковка,Пляж рядом,Подходит для детей,Разрешено с домашними животными,Спа-услуги,Трансфер,Фитнес,tv_bin,brekf_bin,fridge_bin,heat_bin,iron_bin,dist_city,num_rooms,perks_n,amenities_n,dist_sea,feedb_n
960,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,7.649692623711514,0.6931471805599453,1.6094379124341003,3.6635616461296463,4.499809670330265,4.0474e-320
961,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,9.723163998404846,1.791759469228055,1.6094379124341003,3.332204510175204,5.560681631015528,4.0395e-320
962,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,10.06475570013225,0.0,1.6094379124341003,3.2188758248682006,5.736572297479192,2.6573192225e-314
963,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,9.84161214881804,1.0986122886681098,1.6094379124341003,3.1780538303479458,6.745236349484363,2.6623723995e-314
964,0,7.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,10.094107912144779,2.833213344056216,1.6094379124341003,3.295836866004329,7.549609165154532,1.791759469228055
965,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,7.003065458786462,0.0,1.6094379124341003,3.332204510175204,6.363028103540465,2.662371103e-314
966,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.902360072025161,0.0,1.3862943611198906,2.0794415416798357,6.327936783729195,2.1219957915e-314
967,0,10.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.3777589082278725,0.6931471805599453,1.6094379124341003,2.3978952727983707,6.0867747269123065,1.3862943611198906
968,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,10.807705703176014,3.367295829986474,1.6094379124341003,2.772588722239781,5.560681631015528,3.60739284484e-313
969,2,6.1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,10.114558522616068,3.1354942159291497,1.6094379124341003,3.4965075614664802,6.063785208687608,2.5649493574615367
970,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.575462099540212,3.1780538303479458,0.0,0.0,7.003065458786462,4.26521153995e-312
971,3,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,9.846917201047734,0.0,1.6094379124341003,3.58351893845611,5.799092654460526,2.6623685655e-314
972,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,10.073230327123223,1.791759469228055,1.6094379124341003,3.044522437723423,6.1092475827643655,2.6623723995e-314
973,0,7.8,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.753638481905739,2.302585092994046,1.6094379124341003,2.8903717578961645,6.152732694704104,1.6094379124341003
974,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,10.025705185260378,2.6390573296152584,1.6094379124341003,3.6888794541139363,9.487972108574462,2e-323
975,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,7.824046010856292,0.0,1.6094379124341003,3.332204510175204,5.799092654460526,2.270535496353e-312
976,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.778956289890028,3.4657359027997265,0.0,0.0,4.605170185988092,0.0
977,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.438383530044307,0.0,1.6094379124341003,2.3978952727983707,6.593044534142437,2.662372423e-314
978,0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,9.560997243589352,1.3862943611198906,1.3862943611198906,3.1780538303479458,6.877296071497429,1.315637390917e-312
979,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,9.798127036878302,1.6094379124341003,1.6094379124341003,2.3978952727983707,5.3471075307174685,2.6623685023e-314
980,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,7.649692623711514,0.0,1.6094379124341003,3.258096538021482,4.787491742782046,2.121996369e-314
981,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.75846178048587,2.3978952727983707,0.0,0.0,5.521460917862246,2.662372423e-314
982,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8.648221453822641,1.3862943611198906,1.6094379124341003,2.6390573296152584,6.813444599510896,2.121995843e-314
983,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.170119543449628,0.6931471805599453,1.6094379124341003,2.302585092994046,6.733401891837359,2.662372447e-314
984,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.961756460660103,3.332204510175204,0.6931471805599453,0.0,6.593044534142437,1.315637396204e-312
