,price
0,3148
1,3148
2,4733
3,3332
4,2928
5,4500
6,1932
7,3459
8,3148
9,3290
10,21427
11,6306
12,11937
13,2500
14,6838
15,66144
16,3281
17,6962
18,3101
19,4694
20,9140
21,2700
22,3303
23,2500
24,5300
25,3419
26,7500
27,4117
28,4117
29,2300
30,2742
31,3839
32,2429
33,12980
34,1338
35,8212
36,4910
37,5500
38,3752
39,4710
40,5054
41,2290
42,3269
43,2688
44,4296
45,5480
46,2475
47,6962
48,6631
49,4353
50,4129
51,3060
52,3684
53,1338
54,18204
55,4800
56,1572
57,6962
58,1906
59,4534
60,17338
61,6962
62,3674
63,12703
64,2836
65,8561
66,3248
67,11642
68,8033
69,2800
70,3504
71,30742
72,5334
73,15428
74,5484
75,5110
76,1675
77,2000
78,6970
79,3406
80,4149
81,3300
82,2091
83,4000
84,9310
85,79671
86,5484
87,6930
88,3816
89,7867
90,5283
91,6962
92,2718
93,2893
94,4300
95,2654
96,2880
97,4117
98,2056
99,4000
100,3125
101,3000
102,5731
103,4710
104,4302
105,2600
106,12692
107,4259
108,4000
109,3206
110,4808
111,3627
112,3857
113,2871
114,4200
115,4221
116,8064
117,6214
118,3442
119,4570
120,3851
121,5000
122,2461
123,1195
124,6274
125,3983
126,63828
127,4979
128,4582
129,4359
130,2375
131,4005
132,14000
133,3872
134,1441
135,9400
136,3125
137,2400
138,6000
139,9411
140,1955
141,5806
142,3485
143,3714
144,4259
145,3206
146,4808
147,3206
148,5806
149,1902
150,6156
151,20000
152,4808
153,8109
154,3206
155,3206
156,4808
157,3500
158,5806
159,4794
160,3206
161,3206
162,7710
163,7641
164,2130
165,3095
166,3373
167,4808
168,3735
169,4221
170,4808
171,7009
172,3206
173,7970
174,5729
175,3983
176,3359
177,4033
178,5806
179,5089
180,5816
181,4261
182,5806
183,3588
184,4259
185,17200
186,4259
187,3875
188,4259
189,4375
190,4686
191,3500
192,2780
193,14354
194,7075
195,34000
196,4016
197,6146
198,9797
199,2547
200,4637
201,16413
202,8900
203,3892
204,7186
205,4103
206,2589
207,5328
208,4986
209,9915
210,4808
211,4808
212,4979
213,3395
214,2802
215,3327
216,13812
217,18119
218,9619
219,2905
220,1844
221,3500
222,3165
223,3206
224,9193
225,1702
226,3206
227,4800
228,4000
229,3206
230,2905
231,3206
232,4259
233,3206
234,3206
235,4808
236,2202
237,3206
238,3206
239,5835
240,4808
241,4563
242,3500
243,3206
244,4808
245,3206
246,3604
247,4808
248,7009
249,3206
250,1889
251,7009
252,7009
253,2984
254,3206
255,4221
256,2800
257,3206
258,3206
259,3206
260,2713
261,7009
262,3206
263,3206
264,5806
265,4808
266,3206
267,3206
268,3206
269,4808
270,3206
271,7009
272,3206
273,7009
274,4808
275,3206
276,3540
277,4259
278,3206
279,3800
280,3206
281,3206
282,4808
283,3206
284,4808
285,7000
286,4259
287,3206
288,7009
289,7009
290,3206
291,3206
292,3206
293,3206
294,3206
295,3206
296,3206
297,3206
298,5806
299,7009
300,7009
301,4221
302,7009
303,4808
304,4808
305,3714
306,3206
307,4808
308,4259
309,4808
310,37983
311,3206
312,3206
313,3206
314,3206
315,3206
316,3206
317,3206
318,30321
319,2016
320,4808
321,2905
322,3206
323,7009
324,3206
325,5806
326,5440
327,4808
328,3206
329,4808
330,10569
331,3206
332,1890
333,30321
334,7009
335,2303
336,3206
337,3206
338,4511
339,3206
340,3206
341,2038
342,3206
343,4808
344,3000
345,3750
346,4808
347,5806
348,4221
349,3206
350,3206
351,3206
352,3206
353,3206
354,5750
355,3500
356,3206
357,3206
358,4808
359,3714
360,2905
361,4500
362,4808
363,4808
364,3206
365,3206
366,3206
367,7009
368,3206
369,3206
370,4362
371,7009
372,2506
373,3206
374,4259
375,2905
376,2000
377,10569
378,4400
379,1997
380,2011
381,3206
382,4808
383,4808
384,6072
385,3254
386,3206
387,3206
388,7009
389,4808
390,3000
391,3689
392,3222
393,3206
394,4808
395,3076
396,3206
397,4221
398,3288
399,6175
400,2803
401,2775
402,3206
403,1991
404,5387
405,4808
406,4808
407,4808
408,2973
409,3643
410,3206
411,3206
412,3206
413,4808
414,10778
415,2559
416,4808
417,3206
418,4349
419,6473
420,4808
421,3206
422,3206
423,4259
424,4808
425,3206
426,8954
427,8831
428,6663
429,16558
430,7000
431,3206
432,3206
433,3588
434,7009
435,7009
436,2974
437,3500
438,3206
439,3206
440,4808
441,3206
442,4350
443,3355
444,3206
445,3206
446,4188
447,4808
448,4808
449,3186
450,6057
451,3206
452,4808
453,4808
454,3206
455,3206
456,7570
457,4808
458,4808
459,4808
460,5916
461,4543
462,3206
463,4808
464,5806
465,3206
466,4808
467,5806
468,4000
469,4376
470,3872
471,5900
472,3206
473,4673
474,3206
475,4648
476,4481
477,7009
478,3206
479,4473
480,3206
481,7009
482,4046
483,3206
484,3206
485,4808
486,6706
487,2905
488,7009
489,2905
490,4808
491,4808
492,3736
493,3206
494,7009
495,1932
496,3206
497,7009
498,4808
499,3206
500,3206
501,1991
502,3491
503,7009
504,4808
505,4808
506,7037
507,3206
508,4808
509,2742
510,5806
511,4808
512,3206
513,4808
514,3206
515,3206
516,4808
517,4808
518,10551
519,3206
520,2700
521,3872
522,4808
523,8506
